                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.88695,                0.67038,                 1.2884,                0.95515,                0.72277,                 1.3006,                0.83064,                0.79446,                0.87434,                0.63736,                0.98464,                0.70812,                 1.3566,                 1.0175,                0.71452,                 1.3688,               0.001783,               0.001783,               0.001783
                     86,                0.88354,                 0.6691,                 1.2844,                0.95033,                0.72385,                 1.2979,                0.83399,                0.79261,                0.87417,                0.63754,                0.98453,                0.70736,                 1.3562,                 1.0171,                0.71557,                 1.3676,               0.001684,               0.001684,               0.001684
                     87,                0.87435,                0.65945,                 1.2785,                0.94346,                0.71438,                 1.2944,                0.83675,                0.79135,                0.87422,                0.63774,                0.98443,                 0.7064,                  1.356,                 1.0181,                0.71281,                 1.3675,               0.001585,               0.001585,               0.001585
                     88,                0.87209,                0.65458,                 1.2756,                0.93878,                 0.7075,                 1.2917,                0.83818,                0.79018,                0.87479,                0.63856,                0.98459,                0.70545,                  1.356,                 1.0178,                0.71168,                 1.3674,               0.001486,               0.001486,               0.001486
                     89,                0.86669,                0.65159,                 1.2747,                0.93273,                0.70715,                 1.2876,                0.84026,                0.78892,                0.87489,                0.63872,                0.98451,                0.70472,                 1.3558,                 1.0177,                0.71211,                 1.3675,               0.001387,               0.001387,               0.001387
                     90,                0.86107,                0.64066,                 1.2687,                0.92805,                0.69143,                  1.283,                 0.8407,                0.78907,                0.87516,                0.63922,                 0.9848,                0.70398,                  1.356,                 1.0176,                0.71118,                 1.3673,               0.001288,               0.001288,               0.001288
                     91,                0.79707,                0.49617,                 1.2237,                0.84085,                 0.4778,                 1.2373,                0.84386,                0.79003,                0.87585,                0.63965,                0.98504,                  0.703,                 1.3562,                 1.0173,                0.71154,                 1.3675,               0.001189,               0.001189,               0.001189
                     92,                0.77978,                0.47516,                 1.2058,                0.82144,                0.45015,                 1.2177,                0.84687,                0.78967,                0.87565,                0.63968,                0.98519,                0.70169,                 1.3563,                 1.0167,                0.71239,                  1.367,                0.00109,                0.00109,                0.00109
                     93,                 0.7692,                0.46787,                 1.2013,                0.81078,                0.44242,                 1.2116,                0.84723,                0.78832,                0.87579,                0.64006,                0.98477,                0.70096,                 1.3559,                 1.0164,                0.71409,                 1.3668,               0.000991,               0.000991,               0.000991
                     94,                 0.7582,                0.45493,                 1.1945,                0.79865,                0.42663,                 1.2039,                0.84162,                0.79418,                0.87629,                0.64042,                0.98467,                0.70005,                  1.356,                 1.0166,                0.71367,                 1.3678,               0.000892,               0.000892,               0.000892
                     95,                0.75005,                0.44874,                 1.1854,                0.79018,                0.42254,                 1.1947,                0.84998,                0.78795,                0.87681,                0.64113,                0.98455,                0.69915,                 1.3563,                 1.0164,                0.71201,                 1.3683,               0.000793,               0.000793,               0.000793
                     96,                0.74004,                0.43995,                 1.1789,                0.78039,                0.41238,                 1.1876,                0.85057,                0.78779,                0.87738,                0.64192,                0.98497,                0.69827,                 1.3571,                 1.0168,                0.71187,                 1.3691,               0.000694,               0.000694,               0.000694
                     97,                0.73002,                0.43285,                 1.1712,                0.77023,                0.40559,                 1.1787,                0.84365,                0.79436,                0.87715,                0.64165,                0.98536,                0.69742,                  1.358,                 1.0171,                0.71153,                 1.3696,               0.000595,               0.000595,               0.000595
                     98,                0.72302,                0.42514,                 1.1665,                0.76228,                0.39571,                 1.1751,                0.84863,                0.78986,                0.87709,                0.64199,                0.98561,                0.69683,                 1.3589,                  1.017,                0.71321,                 1.3701,               0.000496,               0.000496,               0.000496
                     99,                 0.7151,                0.42042,                 1.1592,                0.75439,                0.39116,                 1.1681,                0.85011,                 0.7906,                0.87721,                  0.642,                0.98577,                0.69639,                 1.3595,                 1.0172,                0.71296,                 1.3707,               0.000397,               0.000397,               0.000397
                    100,                0.70864,                0.41445,                 1.1568,                0.74679,                0.38557,                 1.1651,                0.84939,                0.79173,                0.87732,                0.64198,                0.98596,                0.69576,                 1.3601,                 1.0173,                0.71366,                 1.3722,               0.000298,               0.000298,               0.000298
